nome,abandonou_carrinho,realizou_compra,valor_compra,canal_origem,categoria_interesse,abriu_email,clicou_em_link
pessoa55,0,1,1730.17,Google Ads,Notebooks,0.0,1.0
pessoa70,1,1,1728.98,Facebook,Notebooks,1.0,1.0
pessoa185,0,1,1707.87,Google Ads,Smartphones,0.0,0.0
pessoa156,0,1,1696.86,Facebook,Acessórios,0.0,0.0
pessoa35,1,1,1688.4,Orgânico,Periféricos,1.0,0.0
pessoa189,0,1,164.96,Instagram,Notebooks,1.0,0.0
pessoa68,1,1,1613.92,Orgânico,Notebooks,1.0,0.0
pessoa54,0,1,1606.62,E-mail,Notebooks,1.0,0.0
pessoa62,0,1,1588.5,Facebook,Acessórios,1.0,0.0
pessoa111,1,1,1574.4,Instagram,Smartphones,1.0,1.0
pessoa36,0,1,1574.03,Facebook,Periféricos,1.0,1.0
pessoa44,0,1,155.85,Instagram,Notebooks,1.0,1.0
pessoa6,0,1,1538.41,Instagram,Smartphones,1.0,0.0
pessoa79,1,1,1517.09,Instagram,Acessórios,1.0,1.0
pessoa63,0,1,1514.13,E-mail,Acessórios,0.0,1.0
pessoa82,0,1,1497.17,Google Ads,Acessórios,0.0,0.0
pessoa166,0,1,1476.4,Facebook,Notebooks,1.0,0.0
pessoa74,1,1,1476.14,Facebook,Notebooks,0.0,0.0
pessoa57,0,1,1458.36,Facebook,Notebooks,1.0,1.0
pessoa20,1,1,1392.87,Instagram,Notebooks,1.0,0.0
pessoa130,0,1,1371.84,E-mail,Periféricos,1.0,1.0
pessoa202,0,1,1355.56,,,,
pessoa174,1,1,1348.27,Facebook,Acessórios,1.0,1.0
pessoa134,0,1,1344.52,Google Ads,Notebooks,1.0,1.0
pessoa154,0,1,1341.2,Instagram,Periféricos,1.0,0.0
pessoa170,0,1,134.9,Facebook,Smartphones,0.0,1.0
pessoa168,1,1,1339.03,Google Ads,Acessórios,0.0,0.0
pessoa80,0,1,1337.89,Orgânico,Periféricos,1.0,0.0
pessoa85,0,1,133.94,Facebook,Smartphones,0.0,0.0
pessoa180,0,1,1316.01,Google Ads,Periféricos,0.0,0.0
pessoa148,0,1,1294.65,Facebook,Notebooks,0.0,0.0
pessoa191,1,1,1288.08,Facebook,Notebooks,0.0,0.0
pessoa192,1,1,1264.59,Orgânico,Acessórios,1.0,0.0
pessoa23,1,1,1263.29,Facebook,Acessórios,1.0,0.0
pessoa4,0,1,1251.76,Instagram,Periféricos,1.0,0.0
pessoa152,1,1,1250.52,Facebook,Periféricos,0.0,0.0
pessoa197,0,1,1237.56,E-mail,Periféricos,1.0,0.0
pessoa151,1,1,1236.82,Orgânico,Smartphones,0.0,0.0
pessoa12,0,1,1235.2,Orgânico,Notebooks,1.0,0.0
pessoa47,1,1,1230.08,Instagram,Periféricos,0.0,0.0
pessoa33,0,1,1227.23,Facebook,Notebooks,0.0,1.0
pessoa194,1,1,1216.98,Orgânico,Notebooks,1.0,1.0
pessoa153,0,1,1169.23,E-mail,Smartphones,0.0,0.0
pessoa200,1,1,1160.47,Google Ads,Acessórios,0.0,0.0
pessoa34,1,1,1150.7,Instagram,Acessórios,0.0,0.0
pessoa69,1,1,1132.14,Orgânico,Acessórios,1.0,0.0
pessoa190,1,1,1115.06,Instagram,Notebooks,1.0,0.0
pessoa61,0,1,1107.67,Facebook,Notebooks,1.0,0.0
pessoa95,1,1,1076.59,Google Ads,Notebooks,0.0,0.0
pessoa90,1,1,1073.97,Orgânico,Acessórios,1.0,0.0
pessoa65,1,1,1037.23,Orgânico,Smartphones,1.0,0.0
pessoa142,0,1,1020.36,Google Ads,Notebooks,1.0,0.0
pessoa76,0,1,102.34,Facebook,Notebooks,1.0,1.0
pessoa98,0,1,1016.48,Instagram,Smartphones,0.0,0.0
pessoa160,0,1,1013.72,E-mail,Periféricos,0.0,0.0
pessoa146,1,1,1010.63,Instagram,Acessórios,0.0,0.0
pessoa201,0,0,0.0,,,,
pessoa106,1,0,0.0,Facebook,Smartphones,1.0,1.0
pessoa110,0,0,0.0,Orgânico,Smartphones,1.0,1.0
pessoa115,0,0,0.0,E-mail,Notebooks,1.0,0.0
pessoa117,1,0,0.0,Orgânico,Periféricos,0.0,0.0
pessoa118,0,0,0.0,Facebook,Smartphones,0.0,0.0
pessoa123,0,0,0.0,Orgânico,Notebooks,1.0,1.0
pessoa124,1,0,0.0,Facebook,Smartphones,1.0,1.0
pessoa129,0,0,0.0,Google Ads,Smartphones,1.0,1.0
pessoa131,1,0,0.0,Google Ads,Acessórios,0.0,1.0
pessoa136,0,0,0.0,Instagram,Smartphones,1.0,0.0
pessoa138,1,0,0.0,Google Ads,Periféricos,0.0,0.0
pessoa139,1,0,0.0,Instagram,Notebooks,0.0,0.0
pessoa14,0,0,0.0,Orgânico,Periféricos,0.0,0.0
pessoa141,1,0,0.0,Facebook,Periféricos,1.0,0.0
pessoa143,0,0,0.0,Instagram,Periféricos,1.0,0.0
pessoa144,0,0,0.0,Orgânico,Smartphones,0.0,0.0
pessoa147,1,0,0.0,Orgânico,Acessórios,0.0,1.0
pessoa155,0,0,0.0,Google Ads,Notebooks,1.0,0.0
pessoa159,1,0,0.0,Orgânico,Smartphones,0.0,0.0
pessoa16,0,0,0.0,Google Ads,Smartphones,1.0,0.0
pessoa161,0,0,0.0,E-mail,Acessórios,1.0,0.0
pessoa164,1,0,0.0,Orgânico,Smartphones,0.0,0.0
pessoa165,0,0,0.0,Google Ads,Notebooks,1.0,0.0
pessoa167,0,0,0.0,Instagram,Acessórios,0.0,1.0
pessoa169,1,0,0.0,Facebook,Periféricos,1.0,0.0
pessoa172,0,0,0.0,Google Ads,Periféricos,1.0,0.0
pessoa175,0,0,0.0,Instagram,Notebooks,1.0,1.0
pessoa176,1,0,0.0,E-mail,Acessórios,1.0,0.0
pessoa177,1,0,0.0,Orgânico,Periféricos,1.0,0.0
pessoa18,1,0,0.0,Instagram,Acessórios,1.0,0.0
pessoa182,0,0,0.0,Instagram,Periféricos,1.0,0.0
pessoa186,0,0,0.0,Google Ads,Acessórios,1.0,1.0
pessoa188,0,0,0.0,Instagram,Smartphones,0.0,0.0
pessoa19,0,0,0.0,Google Ads,Notebooks,1.0,0.0
pessoa193,0,0,0.0,Orgânico,Notebooks,1.0,0.0
pessoa195,1,0,0.0,Instagram,Notebooks,1.0,1.0
pessoa199,1,0,0.0,E-mail,Smartphones,1.0,0.0
pessoa21,1,0,0.0,E-mail,Periféricos,0.0,0.0
pessoa27,0,0,0.0,Instagram,Periféricos,0.0,1.0
pessoa32,0,0,0.0,Orgânico,Acessórios,0.0,1.0
pessoa37,1,0,0.0,E-mail,Notebooks,0.0,0.0
pessoa39,1,0,0.0,Instagram,Smartphones,1.0,0.0
pessoa40,0,0,0.0,Google Ads,Notebooks,1.0,0.0
pessoa42,1,0,0.0,E-mail,Acessórios,0.0,0.0
pessoa48,0,0,0.0,Google Ads,Periféricos,1.0,0.0
pessoa49,0,0,0.0,E-mail,Notebooks,1.0,0.0
pessoa5,1,0,0.0,Orgânico,Notebooks,1.0,1.0
pessoa51,1,0,0.0,Orgânico,Smartphones,0.0,0.0
pessoa52,1,0,0.0,Google Ads,Periféricos,0.0,0.0
pessoa56,0,0,0.0,Instagram,Acessórios,0.0,0.0
pessoa64,0,0,0.0,Orgânico,Smartphones,0.0,0.0
pessoa73,1,0,0.0,Google Ads,Notebooks,1.0,1.0
pessoa75,1,0,0.0,Google Ads,Acessórios,0.0,1.0
pessoa77,1,0,0.0,Facebook,Periféricos,1.0,1.0
pessoa8,0,0,0.0,Google Ads,Periféricos,1.0,0.0
pessoa81,0,0,0.0,E-mail,Acessórios,1.0,1.0
pessoa84,1,0,0.0,E-mail,Acessórios,0.0,1.0
pessoa88,1,0,0.0,Google Ads,Periféricos,1.0,1.0
pessoa97,0,0,0.0,Orgânico,Acessórios,1.0,0.0
pessoa99,1,0,0.0,Orgânico,Smartphones,1.0,1.0
