nome,abandonou_carrinho,realizou_compra,valor_compra
pessoa11,0,1,1294.65
pessoa63,1,1,1288.08
pessoa113,1,1,1264.59
pessoa147,1,1,1263.29
pessoa167,0,1,1251.76
pessoa1,1,1,1250.52
pessoa199,0,1,1237.56
pessoa154,1,1,1236.82
pessoa71,0,1,1235.2
pessoa124,1,1,1230.08
pessoa65,0,1,1227.23
pessoa45,1,1,1216.98
pessoa164,0,1,117.16
pessoa29,0,1,1169.23
pessoa41,1,1,1160.47
pessoa109,1,1,1150.7
pessoa156,1,1,1132.14
pessoa157,1,1,1115.06
pessoa26,1,1,1113.67
pessoa24,0,1,1107.67
pessoa185,1,1,1076.59
pessoa148,1,1,1073.97
pessoa82,1,1,1037.23
pessoa40,0,1,1020.36
pessoa169,0,1,102.34
pessoa48,0,1,1016.48
pessoa95,0,1,1013.72
pessoa155,1,1,1010.63
pessoa44,0,0,0.0
pessoa139,0,0,0.0
pessoa4,0,0,0.0
pessoa106,1,0,0.0
pessoa54,0,0,0.0
pessoa134,1,0,0.0
pessoa181,1,0,0.0
pessoa179,0,0,0.0
pessoa186,1,0,0.0
pessoa50,0,0,0.0
pessoa81,0,0,0.0
pessoa35,1,0,0.0
pessoa8,0,0,0.0
pessoa111,1,0,0.0
pessoa92,0,0,0.0
pessoa84,1,0,0.0
pessoa177,1,0,0.0
pessoa182,0,0,0.0
pessoa90,1,0,0.0
pessoa9,0,0,0.0
pessoa14,0,0,0.0
pessoa60,1,0,0.0
pessoa172,0,0,0.0
pessoa132,0,0,0.0
pessoa18,1,0,0.0
pessoa73,0,0,0.0
pessoa176,0,0,0.0
pessoa135,1,0,0.0
pessoa168,0,0,0.0
pessoa184,0,0,0.0
pessoa64,1,0,0.0
pessoa55,0,0,0.0
pessoa108,0,0,0.0
pessoa51,1,0,0.0
pessoa197,1,0,0.0
pessoa59,1,0,0.0
pessoa49,0,0,0.0
pessoa89,0,0,0.0
pessoa22,0,0,0.0
pessoa58,0,0,0.0
pessoa161,0,0,0.0
pessoa193,1,0,0.0
pessoa130,1,0,0.0
pessoa38,1,0,0.0
pessoa158,0,0,0.0
pessoa194,0,0,0.0
pessoa2,1,0,0.0
pessoa53,1,0,0.0
pessoa150,0,0,0.0
pessoa131,1,0,0.0
pessoa152,0,0,0.0
pessoa104,0,0,0.0
pessoa100,1,0,0.0
pessoa117,1,0,0.0
pessoa88,1,0,0.0
pessoa75,0,0,0.0
pessoa122,0,0,0.0
pessoa200,1,0,0.0
pessoa21,1,0,0.0
pessoa189,1,0,0.0
pessoa72,0,0,0.0
pessoa107,0,0,0.0
pessoa15,1,0,0.0
pessoa93,1,0,0.0
pessoa180,0,0,0.0
pessoa103,1,0,0.0
