nome,canal_origem,categoria_interesse,abriu_email,clicou_em_link
pessoa154,Instagram,Periféricos,1,0
pessoa71,E-mail,Notebooks,1,0
pessoa124,Facebook,Smartphones,1,1
pessoa65,Orgânico,Smartphones,1,0
pessoa45,Instagram,Smartphones,1,0
pessoa164,Orgânico,Smartphones,0,0
pessoa29,E-mail,Smartphones,0,0
pessoa41,E-mail,Acessórios,0,1
pessoa109,Instagram,Notebooks,0,1
pessoa156,Facebook,Acessórios,0,0
pessoa157,Google Ads,Periféricos,0,0
pessoa26,Instagram,Smartphones,1,0
pessoa24,Google Ads,Notebooks,1,0
pessoa185,Google Ads,Smartphones,0,0
pessoa148,Facebook,Notebooks,0,0
pessoa82,Google Ads,Acessórios,0,0
pessoa40,Google Ads,Notebooks,1,0
pessoa169,Facebook,Periféricos,1,0
pessoa48,Google Ads,Periféricos,1,0
pessoa95,Google Ads,Notebooks,0,0
pessoa155,Google Ads,Notebooks,1,0
pessoa44,Instagram,Notebooks,1,1
pessoa139,Instagram,Notebooks,0,0
pessoa4,Instagram,Periféricos,1,0
pessoa106,Facebook,Smartphones,1,1
pessoa54,E-mail,Notebooks,1,0
pessoa134,Google Ads,Notebooks,1,1
pessoa181,Google Ads,Periféricos,1,0
pessoa179,Facebook,Periféricos,1,1
pessoa186,Google Ads,Acessórios,1,1
pessoa50,Instagram,Notebooks,1,1
pessoa81,E-mail,Acessórios,1,1
pessoa35,Orgânico,Periféricos,1,0
pessoa8,Google Ads,Periféricos,1,0
pessoa111,Instagram,Smartphones,1,1
pessoa92,Orgânico,Notebooks,1,0
pessoa84,E-mail,Acessórios,0,1
pessoa177,Orgânico,Periféricos,1,0
pessoa182,Instagram,Periféricos,1,0
pessoa90,Orgânico,Acessórios,1,0
pessoa9,Facebook,Smartphones,1,0
pessoa14,Orgânico,Periféricos,0,0
pessoa60,Google Ads,Notebooks,1,0
pessoa172,Google Ads,Periféricos,1,0
pessoa132,Facebook,Notebooks,1,0
pessoa18,Instagram,Acessórios,1,0
pessoa73,Google Ads,Notebooks,1,1
pessoa176,E-mail,Acessórios,1,0
pessoa135,Google Ads,Notebooks,0,0
pessoa168,Google Ads,Acessórios,0,0
pessoa184,Instagram,Notebooks,1,1
pessoa64,Orgânico,Smartphones,0,0
pessoa55,Google Ads,Notebooks,0,1
pessoa108,Facebook,Notebooks,1,1
pessoa51,Orgânico,Smartphones,0,0
pessoa197,E-mail,Periféricos,1,0
pessoa59,Instagram,Periféricos,1,0
pessoa49,E-mail,Notebooks,1,0
pessoa89,Orgânico,Smartphones,1,0
pessoa22,Orgânico,Notebooks,1,1
pessoa58,Orgânico,Acessórios,0,0
pessoa161,E-mail,Acessórios,1,0
pessoa193,Orgânico,Notebooks,1,0
pessoa130,E-mail,Periféricos,1,1
pessoa38,Orgânico,Periféricos,1,0
pessoa158,Facebook,Notebooks,1,0
pessoa194,Orgânico,Notebooks,1,1
pessoa2,E-mail,Acessórios,0,1
pessoa53,Google Ads,Periféricos,1,0
pessoa150,Orgânico,Notebooks,0,0
pessoa131,Google Ads,Acessórios,0,1
pessoa152,Facebook,Periféricos,0,0
pessoa104,Instagram,Smartphones,1,0
pessoa100,Facebook,Acessórios,1,0
pessoa117,Orgânico,Periféricos,0,0
pessoa88,Google Ads,Periféricos,1,1
pessoa75,Google Ads,Acessórios,0,1
pessoa122,E-mail,Smartphones,0,0
pessoa200,Google Ads,Acessórios,0,0
pessoa21,E-mail,Periféricos,0,0
pessoa189,Instagram,Notebooks,1,0
pessoa72,Orgânico,Notebooks,1,1
pessoa107,E-mail,Acessórios,1,0
pessoa15,Instagram,Periféricos,0,0
pessoa93,Google Ads,Notebooks,0,0
pessoa180,Google Ads,Periféricos,0,0
pessoa103,Instagram,Acessórios,1,0
